FlightDate,Atrasos,Cancelamentos,Cold,Fog,Rain,Snow,Storm
2018-01-02,-54.0,110,-22.0,684,-103.0,619,18
2018-01-03,-701.0,449,-323.0,543,332.0,1097,5
2018-01-04,-1533.0,3001,90.0,787,-137.0,1408,23
2018-01-05,1482.0,1007,109.0,844,138.0,923,16
2018-01-06,-827.0,234,106.0,828,-51.0,569,12
2018-01-07,1003.0,413,-282.0,672,380.0,507,9
2018-01-08,847.0,504,-20.0,805,1860.0,975,14
2018-01-09,-1590.0,249,16.0,1250,-389.0,331,18
2018-01-10,-799.0,168,-1.0,1482,-664.0,518,64
2018-01-11,707.0,168,20.0,1500,2473.0,1478,119
2018-01-12,2302.0,842,106.0,1240,1176.0,1740,23
2018-01-13,-3201.0,166,20.0,796,-3630.0,1364,25
2018-01-14,-371.0,40,-89.0,584,-1614.0,1210,12
2018-01-15,2320.0,244,1.0,1786,130.0,1969,10
2018-01-16,-1120.0,1373,18.0,952,556.0,2323,6
2018-01-17,1582.0,1398,-120.0,776,-274.0,1964,2
2018-01-18,-1126.0,390,3.0,368,78.0,345,11
2018-01-19,-1402.0,61,-25.0,317,196.0,327,21
2018-01-20,-907.0,36,5.0,482,-54.0,437,17
2018-01-21,1328.0,440,26.0,1077,242.0,665,18
2018-01-22,-266.0,700,20.0,1059,2737.0,1151,49
2018-01-23,148.0,261,25.0,697,-501.0,1066,13
2018-01-24,-536.0,53,-2.0,479,-2506.0,851,30
2018-01-25,-215.0,21,6.0,503,-78.0,519,20
2018-01-26,-142.0,14,-65.0,373,180.0,324,26
2018-01-27,-437.0,24,-19.0,370,1817.0,462,26
2018-01-28,608.0,37,22.0,937,435.0,816,19
2018-01-29,727.0,64,27.0,536,-1060.0,968,8
2018-01-30,-312.0,65,15.0,531,-1391.0,1259,42
2018-01-31,-783.0,29,-26.0,437,-411.0,714,41
2018-02-01,309.0,45,1.0,586,385.0,983,17
2018-02-02,342.0,71,82.0,508,585.0,1489,30
2018-02-03,-1060.0,22,-111.0,586,-445.0,1273,55
2018-02-04,1337.0,255,120.0,1183,2471.0,2627,45
2018-02-05,366.0,380,-2.0,986,-2162.0,1571,48
2018-02-06,-1071.0,162,173.0,878,165.0,1410,2
2018-02-07,1144.0,688,-156.0,917,2809.0,2280,36
2018-02-08,-927.0,249,15.0,690,-3298.0,1393,31
2018-02-09,989.0,913,-15.0,838,-241.0,1774,26
2018-02-10,-427.0,174,83.0,1430,3198.0,1337,28
2018-02-11,451.0,534,-149.0,1286,1184.0,1355,10
2018-02-12,-786.0,77,96.0,650,-2822.0,692,15
2018-02-13,-582.0,39,-95.0,561,-840.0,424,12
2018-02-14,33.0,41,-52.0,1136,739.0,280,49
2018-02-15,1430.0,318,13.0,1503,-173.0,767,31
2018-02-16,-170.0,17,11.0,798,704.0,459,23
2018-02-17,-730.0,110,-23.0,791,-174.0,1300,40
2018-02-18,-18.0,81,5.0,1310,-1090.0,2015,85
2018-02-19,766.0,112,34.0,1013,1651.0,1486,102
2018-02-20,150.0,267,84.0,1566,1582.0,1841,40
2018-02-21,-321.0,168,62.0,697,-468.0,762,2
2018-02-22,427.0,63,-54.0,828,-729.0,1410,7
2018-02-23,-433.0,40,-34.0,1538,81.0,1407,9
2018-02-24,-689.0,85,-15.0,1835,367.0,1259,38
2018-02-25,497.0,42,-66.0,656,126.0,1319,59
2018-02-26,-648.0,44,-5.0,746,-1845.0,337,30
2018-02-27,-189.0,91,7.0,756,-878.0,154,8
2018-02-28,482.0,61,9.0,629,1181.0,230,4
2018-03-01,536.0,243,-8.0,540,1787.0,437,6
2018-03-02,161.0,1191,14.0,651,-2088.0,1275,193
2018-03-03,-799.0,234,-52.0,386,-1277.0,445,43
2018-03-04,355.0,72,13.0,523,164.0,564,40
2018-03-05,452.0,222,43.0,494,1105.0,1455,188
2018-03-06,-1220.0,96,-15.0,531,308.0,1771,137
2018-03-07,-172.0,1355,-8.0,431,-1077.0,2217,2
2018-03-08,918.0,286,-5.0,448,-655.0,1909,19
2018-03-09,43.0,30,-4.0,463,-169.0,1095,12
2018-03-10,-96.0,16,4.0,446,525.0,629,24
2018-03-11,316.0,27,-11.0,623,1415.0,665,7
2018-03-12,-571.0,204,10.0,408,-637.0,935,0
2018-03-13,209.0,844,13.0,582,-773.0,1968,11
2018-03-14,275.0,169,-15.0,491,-35.0,1337,14
2018-03-15,143.0,71,8.0,409,-62.0,886,14
2018-03-16,294.0,67,-31.0,373,745.0,1163,58
2018-03-17,-1096.0,31,7.0,513,29.0,642,2
2018-03-18,463.0,39,42.0,822,-190.0,448,40
2018-03-19,-151.0,91,0.0,716,1005.0,619,36
2018-03-20,1015.0,427,26.0,493,319.0,856,5
2018-03-21,-698.0,2279,-13.0,454,-896.0,1703,6
2018-03-22,1000.0,402,-12.0,354,-257.0,587,17
2018-03-23,-986.0,55,-30.0,278,-246.0,337,65
2018-03-24,-361.0,68,8.0,403,534.0,1245,16
2018-03-25,-194.0,30,-22.0,414,-302.0,862,20
2018-03-26,68.0,24,27.0,522,92.0,944,5
2018-03-27,173.0,52,-4.0,500,2100.0,474,12
2018-03-28,251.0,202,10.0,984,-337.0,408,6
2018-03-29,332.0,67,4.0,1085,467.0,522,14
2018-03-30,-374.0,19,-48.0,613,-1619.0,379,35
2018-03-31,-550.0,26,-6.0,554,-1354.0,984,48
2018-04-01,320.0,29,-10.0,378,51.0,607,12
2018-04-02,2015.0,321,30.0,809,159.0,1446,47
2018-04-03,354.0,175,30.0,830,1696.0,1331,75
2018-04-04,-300.0,485,5.0,660,-109.0,1101,78
2018-04-05,-1121.0,80,-21.0,371,-2096.0,741,9
2018-04-06,1161.0,219,-32.0,729,1405.0,1861,23
2018-04-07,-1558.0,42,4.0,390,2020.0,1006,18
2018-04-08,261.0,20,-8.0,355,-2487.0,899,40
2018-04-09,445.0,40,31.0,535,-174.0,1253,6
2018-04-10,-464.0,119,1.0,374,-75.0,348,6
2018-04-11,-811.0,21,-26.0,451,-700.0,192,37
2018-04-12,511.0,36,54.0,635,936.0,595,113
2018-04-13,519.0,76,-51.0,582,589.0,841,167
2018-04-14,-865.0,588,18.0,752,2207.0,1503,277
2018-04-15,3030.0,586,24.0,617,81.0,1912,24
2018-04-16,881.0,677,6.0,500,-69.0,1864,65
2018-04-17,-3090.0,196,-29.0,434,-3370.0,1440,170
2018-04-18,-552.0,128,1.0,329,-370.0,676,56
2018-04-19,950.0,74,13.0,300,476.0,609,22
2018-04-20,-568.0,50,-26.0,237,-604.0,248,36
2018-04-21,-968.0,57,4.0,313,1305.0,295,7
2018-04-22,827.0,62,-17.0,309,539.0,8,4
2018-04-23,-17.0,145,39.0,320,506.0,111,8
2018-04-24,-564.0,101,-10.0,377,148.0,228,12
2018-04-25,1065.0,256,-2.0,687,-18.0,28,9
2018-04-26,-306.0,57,-8.0,614,-1136.0,12,19
2018-04-27,503.0,50,-24.0,559,-256.0,56,5
2018-04-28,-1654.0,37,13.0,684,-421.0,3,13
2018-04-29,610.0,32,-2.0,343,-77.0,90,53
2018-04-30,66.0,19,40.0,224,331.0,116,81
2018-05-01,-772.0,54,1.0,359,-135.0,89,16
2018-05-02,592.0,282,9.0,395,745.0,125,10
2018-05-03,1745.0,332,8.0,545,2149.0,82,23
2018-05-04,-1293.0,74,-56.0,398,-1392.0,16,24
2018-05-05,-1348.0,25,0.0,540,-1265.0,0,2
2018-05-06,869.0,32,12.0,582,718.0,0,2
2018-05-07,-561.0,42,2.0,512,-1423.0,0,7
2018-05-08,-88.0,44,27.0,492,204.0,0,7
2018-05-09,1255.0,104,7.0,543,626.0,0,2
2018-05-10,200.0,160,-14.0,586,158.0,2,8
2018-05-11,-572.0,53,-10.0,523,356.0,10,26
2018-05-12,-584.0,41,-2.0,538,409.0,34,14
2018-05-13,559.0,72,9.0,799,-377.0,3,5
2018-05-14,1695.0,497,28.0,884,435.0,1,8
2018-05-15,-1063.0,726,14.0,750,1046.0,5,16
2018-05-16,310.0,258,-33.0,661,-51.0,0,4
2018-05-17,241.0,79,9.0,630,-30.0,0,5
2018-05-18,-589.0,150,18.0,517,240.0,1,16
2018-05-19,-725.0,85,-29.0,611,1114.0,15,10
2018-05-20,1407.0,172,12.0,679,-675.0,17,17
2018-05-21,-115.0,113,-17.0,755,-993.0,7,9
2018-05-22,-650.0,133,15.0,951,10.0,4,4
2018-05-23,-215.0,50,-14.0,930,-630.0,2,4
2018-05-24,-117.0,37,-5.0,570,-740.0,0,9
2018-05-25,148.0,66,1.0,477,678.0,0,1
2018-05-26,-1084.0,24,1.0,504,-187.0,0,4
2018-05-27,464.0,64,-6.0,638,312.0,0,11
2018-05-28,69.0,39,20.0,524,789.0,0,17
2018-05-29,-227.0,29,21.0,578,299.0,4,15
2018-05-30,1134.0,238,5.0,588,262.0,0,7
2018-05-31,61.0,275,17.0,793,-1107.0,0,20
2018-06-01,-652.0,154,-25.0,701,-658.0,1,17
2018-06-02,-704.0,164,-32.0,718,515.0,0,39
2018-06-03,355.0,80,-27.0,484,-173.0,2,4
2018-06-04,-108.0,37,40.0,341,-770.0,4,23
2018-06-05,-246.0,36,8.0,332,-387.0,0,5
2018-06-06,143.0,36,-1.0,406,-146.0,0,15
2018-06-07,575.0,55,-16.0,377,-169.0,0,21
2018-06-08,532.0,76,-3.0,355,551.0,0,27
2018-06-09,113.0,124,7.0,554,1212.0,0,11
2018-06-10,679.0,260,-25.0,578,105.0,25,13
2018-06-11,-1223.0,66,25.0,395,398.0,15,6
2018-06-12,-571.0,34,10.0,519,-950.0,0,5
2018-06-13,535.0,62,1.0,579,-387.0,10,9
2018-06-14,-159.0,55,-9.0,454,-293.0,0,7
2018-06-15,127.0,47,-6.0,383,183.0,0,24
2018-06-16,-304.0,57,9.0,412,721.0,0,17
2018-06-17,377.0,101,-3.0,429,277.0,2,10
2018-06-18,117.0,302,-9.0,466,359.0,1,6
2018-06-19,778.0,672,10.0,416,687.0,0,8
2018-06-20,-201.0,259,10.0,500,-262.0,4,11
2018-06-21,16.0,153,4.0,503,305.0,0,5
2018-06-22,156.0,125,-20.0,438,-630.0,0,9
2018-06-23,-1062.0,56,12.0,583,-527.0,0,20
2018-06-24,548.0,235,63.0,623,-68.0,2,25
2018-06-25,80.0,102,-35.0,463,384.0,1,39
2018-06-26,89.0,481,-5.0,436,-326.0,0,7
2018-06-27,-402.0,121,-11.0,485,-390.0,0,4
2018-06-28,748.0,192,9.0,647,246.0,0,7
2018-06-29,-910.0,104,-124.0,34,-2643.0,0,5
2018-06-30,-217.0,60,3.0,45,12.0,0,3
2018-07-01,61.0,186,74.0,450,2087.0,0,5
2018-07-02,0.0,147,50.0,561,-776.0,0,6
2018-07-03,-418.0,160,-11.0,610,618.0,0,24
2018-07-04,-151.0,52,-13.0,407,450.0,0,21
2018-07-05,886.0,214,-25.0,663,-45.0,0,11
2018-07-06,141.0,152,45.0,413,188.0,0,6
2018-07-07,-847.0,48,-24.0,301,-653.0,0,2
2018-07-08,385.0,66,-20.0,384,-432.0,0,3
2018-07-09,185.0,130,10.0,498,-5.0,0,17
2018-07-10,-16.0,115,12.0,513,-297.0,0,12
2018-07-11,-319.0,76,16.0,444,9.0,0,2
2018-07-12,341.0,116,-12.0,368,777.0,0,10
2018-07-13,-543.0,79,-21.0,427,184.0,0,2
2018-07-14,6.0,55,2.0,620,-157.0,0,2
2018-07-15,1367.0,413,-21.0,814,117.0,0,2
2018-07-16,99.0,215,27.0,887,-101.0,0,2
2018-07-17,-342.0,764,-11.0,587,872.0,0,9
2018-07-18,-334.0,114,30.0,535,-1215.0,0,11
2018-07-19,483.0,46,-5.0,424,159.0,0,3
2018-07-20,620.0,166,13.0,393,1191.0,0,13
2018-07-21,-1246.0,66,-19.0,491,197.0,0,6
2018-07-22,905.0,301,1.0,458,240.0,0,8
2018-07-23,666.0,649,21.0,592,-73.0,0,13
2018-07-24,-543.0,509,-5.0,657,-440.0,0,9
2018-07-25,-139.0,303,-17.0,697,129.0,0,13
2018-07-26,-418.0,48,-18.0,773,-449.0,0,8
2018-07-27,248.0,660,-12.0,728,-728.0,0,9
2018-07-28,-639.0,95,3.0,771,326.0,0,16
2018-07-29,530.0,50,9.0,786,359.0,0,18
2018-07-30,-315.0,114,-7.0,826,948.0,1,15
2018-07-31,244.0,106,23.0,847,-381.0,0,9
2018-08-01,1453.0,250,-1.0,713,652.0,0,0
2018-08-02,916.0,1034,-10.0,711,-409.0,0,7
2018-08-03,-208.0,1307,4.0,772,-229.0,0,6
2018-08-04,-1647.0,270,-6.0,879,-323.0,0,11
2018-08-05,-446.0,102,6.0,885,-1307.0,0,13
2018-08-06,1168.0,220,16.0,704,625.0,0,5
2018-08-07,94.0,702,13.0,933,809.0,0,6
2018-08-08,628.0,885,-21.0,1166,-619.0,0,4
2018-08-09,-163.0,345,22.0,1032,-1.0,0,6
2018-08-10,-511.0,217,-33.0,990,-362.0,0,8
2018-08-11,63.0,628,8.0,1055,770.0,0,5
2018-08-12,620.0,462,-12.0,1248,-470.0,0,12
2018-08-13,758.0,944,9.0,1227,317.0,0,5
2018-08-14,-1146.0,639,23.0,1153,184.0,0,5
2018-08-15,-1146.0,233,-31.0,940,-525.0,0,13
2018-08-16,-145.0,125,7.0,1071,171.0,0,6
2018-08-17,752.0,507,4.0,964,802.0,0,8
