FlightDate,Atrasos,Cancelamentos
2018-01-01,4331,129
2018-01-02,4277,110
2018-01-03,3576,449
2018-01-04,2043,3001
2018-01-05,3525,1007
2018-01-06,2698,234
2018-01-07,3701,413
2018-01-08,4548,504
2018-01-09,2958,249
2018-01-10,2159,168
2018-01-11,2866,168
2018-01-12,5168,842
2018-01-13,1967,166
2018-01-14,1596,40
2018-01-15,3916,244
2018-01-16,2796,1373
2018-01-17,4378,1398
2018-01-18,3252,390
2018-01-19,1850,61
2018-01-20,943,36
2018-01-21,2271,440
2018-01-22,2005,700
2018-01-23,2153,261
2018-01-24,1617,53
2018-01-25,1402,21
2018-01-26,1260,14
2018-01-27,823,24
2018-01-28,1431,37
2018-01-29,2158,64
2018-01-30,1846,65
2018-01-31,1063,29
2018-02-01,1372,45
2018-02-02,1714,71
2018-02-03,654,22
2018-02-04,1991,255
2018-02-05,2357,380
2018-02-06,1286,162
2018-02-07,2430,688
2018-02-08,1503,249
2018-02-09,2492,913
2018-02-10,2065,174
2018-02-11,2516,534
2018-02-12,1730,77
2018-02-13,1148,39
2018-02-14,1181,41
2018-02-15,2611,318
2018-02-16,2441,17
2018-02-17,1711,110
2018-02-18,1693,81
2018-02-19,2459,112
2018-02-20,2609,267
2018-02-21,2288,168
2018-02-22,2715,63
2018-02-23,2282,40
2018-02-24,1593,85
2018-02-25,2090,42
2018-02-26,1442,44
2018-02-27,1253,91
2018-02-28,1735,61
2018-03-01,2271,243
2018-03-02,2432,1191
2018-03-03,1633,234
2018-03-04,1988,72
2018-03-05,2440,222
2018-03-06,1220,96
2018-03-07,1048,1355
2018-03-08,1966,286
2018-03-09,2009,30
2018-03-10,1913,16
2018-03-11,2229,27
2018-03-12,1658,204
2018-03-13,1867,844
2018-03-14,2142,169
2018-03-15,2285,71
2018-03-16,2579,67
2018-03-17,1483,31
2018-03-18,1946,39
2018-03-19,1795,91
2018-03-20,2810,427
2018-03-21,2112,2279
2018-03-22,3112,402
2018-03-23,2126,55
2018-03-24,1765,68
2018-03-25,1571,30
2018-03-26,1639,24
2018-03-27,1812,52
2018-03-28,2063,202
2018-03-29,2395,67
2018-03-30,2021,19
2018-03-31,1471,26
2018-04-01,1791,29
2018-04-02,3806,321
2018-04-03,4160,175
2018-04-04,3860,485
2018-04-05,2739,80
2018-04-06,3900,219
2018-04-07,2342,42
2018-04-08,2603,20
2018-04-09,3048,40
2018-04-10,2584,119
2018-04-11,1773,21
2018-04-12,2284,36
2018-04-13,2803,76
2018-04-14,1938,588
2018-04-15,4968,586
2018-04-16,5849,677
2018-04-17,2759,196
2018-04-18,2207,128
2018-04-19,3157,74
2018-04-20,2589,50
2018-04-21,1621,57
2018-04-22,2448,62
2018-04-23,2431,145
2018-04-24,1867,101
2018-04-25,2932,256
2018-04-26,2626,57
2018-04-27,3129,50
2018-04-28,1475,37
2018-04-29,2085,32
2018-04-30,2151,19
2018-05-01,1379,54
2018-05-02,1971,282
2018-05-03,3716,332
2018-05-04,2423,74
2018-05-05,1075,25
2018-05-06,1944,32
2018-05-07,1383,42
2018-05-08,1295,44
2018-05-09,2550,104
2018-05-10,2750,160
2018-05-11,2178,53
2018-05-12,1594,41
2018-05-13,2153,72
2018-05-14,3848,497
2018-05-15,2785,726
2018-05-16,3095,258
2018-05-17,3336,79
2018-05-18,2747,150
2018-05-19,2022,85
2018-05-20,3429,172
2018-05-21,3314,113
2018-05-22,2664,133
2018-05-23,2449,50
2018-05-24,2332,37
2018-05-25,2480,66
2018-05-26,1396,24
2018-05-27,1860,64
2018-05-28,1929,39
2018-05-29,1702,29
2018-05-30,2836,238
2018-05-31,2897,275
2018-06-01,2245,154
2018-06-02,1541,164
2018-06-03,1896,80
2018-06-04,1788,37
2018-06-05,1542,36
2018-06-06,1685,36
2018-06-07,2260,55
2018-06-08,2792,76
2018-06-09,2905,124
2018-06-10,3584,260
2018-06-11,2361,66
2018-06-12,1790,34
2018-06-13,2325,62
2018-06-14,2166,55
2018-06-15,2293,47
2018-06-16,1989,57
2018-06-17,2366,101
2018-06-18,2483,302
2018-06-19,3261,672
2018-06-20,3060,259
2018-06-21,3076,153
2018-06-22,3232,125
2018-06-23,2170,56
2018-06-24,2718,235
2018-06-25,2798,102
2018-06-26,2887,481
2018-06-27,2485,121
2018-06-28,3233,192
2018-06-29,2323,104
2018-06-30,2106,60
2018-07-01,2167,186
2018-07-02,2167,147
2018-07-03,1749,160
2018-07-04,1598,52
2018-07-05,2484,214
2018-07-06,2625,152
2018-07-07,1778,48
2018-07-08,2163,66
2018-07-09,2348,130
2018-07-10,2332,115
2018-07-11,2013,76
2018-07-12,2354,116
2018-07-13,1811,79
2018-07-14,1817,55
2018-07-15,3184,413
2018-07-16,3283,215
2018-07-17,2941,764
2018-07-18,2607,114
2018-07-19,3090,46
2018-07-20,3710,166
2018-07-21,2464,66
2018-07-22,3369,301
2018-07-23,4035,649
2018-07-24,3492,509
2018-07-25,3353,303
2018-07-26,2935,48
2018-07-27,3183,660
2018-07-28,2544,95
2018-07-29,3074,50
2018-07-30,2759,114
2018-07-31,3003,106
2018-08-01,4456,250
2018-08-02,5372,1034
2018-08-03,5164,1307
2018-08-04,3517,270
2018-08-05,3071,102
2018-08-06,4239,220
2018-08-07,4333,702
2018-08-08,4961,885
2018-08-09,4798,345
2018-08-10,4287,217
2018-08-11,4350,628
2018-08-12,4970,462
2018-08-13,5728,944
2018-08-14,4582,639
2018-08-15,3436,233
2018-08-16,3291,125
2018-08-17,4043,507
2018-08-18,2758,330
2018-08-19,3836,229
2018-08-20,3674,364
2018-08-21,3625,413
2018-08-22,2357,120
2018-08-23,2440,126
2018-08-24,2325,187
2018-08-25,1830,76
2018-08-26,1970,30
2018-08-27,2210,52
2018-08-28,3330,533
2018-08-29,2422,111
2018-08-30,2509,56
2018-08-31,4003,172
2018-09-01,3178,290
2018-09-02,1987,68
2018-09-03,4116,566
2018-09-04,2626,152
2018-09-05,2640,252
2018-09-06,3562,538
2018-09-07,4097,581
2018-09-08,1938,188
2018-09-09,3616,127
2018-09-10,4022,197
2018-09-11,2663,166
2018-09-12,3526,278
2018-09-13,2762,652
2018-09-14,3173,927
2018-09-15,1650,871
2018-09-16,3202,761
2018-09-17,2800,211
2018-09-18,3735,420
2018-09-19,2363,121
2018-09-20,4480,147
2018-09-21,5085,536
2018-09-22,2512,234
2018-09-23,2877,57
2018-09-24,2716,81
2018-09-25,4201,223
2018-09-26,5668,467
2018-09-27,3771,128
2018-09-28,3594,64
2018-09-29,2199,139
2018-09-30,2579,61
2018-10-01,3031,114
2018-10-02,2622,153
2018-10-03,2510,87
2018-10-04,3107,65
