Date,Cold,Fog,Rain,Snow,Storm
2018-01-01,444,651,314,716,17
2018-01-02,422,684,211,619,18
2018-01-03,99,543,543,1097,5
2018-01-04,189,787,406,1408,23
2018-01-05,298,844,544,923,16
2018-01-06,404,828,493,569,12
2018-01-07,122,672,873,507,9
2018-01-08,102,805,2733,975,14
2018-01-09,118,1250,2344,331,18
2018-01-10,117,1482,1680,518,64
2018-01-11,137,1500,4153,1478,119
2018-01-12,243,1240,5329,1740,23
2018-01-13,263,796,1699,1364,25
2018-01-14,174,584,85,1210,12
2018-01-15,175,1786,215,1969,10
2018-01-16,193,952,771,2323,6
2018-01-17,73,776,497,1964,2
2018-01-18,76,368,575,345,11
2018-01-19,51,317,771,327,21
2018-01-20,56,482,717,437,17
2018-01-21,82,1077,959,665,18
2018-01-22,102,1059,3696,1151,49
2018-01-23,127,697,3195,1066,13
2018-01-24,125,479,689,851,30
2018-01-25,131,503,611,519,20
2018-01-26,66,373,791,324,26
2018-01-27,47,370,2608,462,26
2018-01-28,69,937,3043,816,19
2018-01-29,96,536,1983,968,8
2018-01-30,111,531,592,1259,42
2018-01-31,85,437,181,714,41
2018-02-01,86,586,566,983,17
2018-02-02,168,508,1151,1489,30
2018-02-03,57,586,706,1273,55
2018-02-04,177,1183,3177,2627,45
2018-02-05,175,986,1015,1571,48
2018-02-06,348,878,1180,1410,2
2018-02-07,192,917,3989,2280,36
2018-02-08,207,690,691,1393,31
2018-02-09,192,838,450,1774,26
2018-02-10,275,1430,3648,1337,28
2018-02-11,126,1286,4832,1355,10
2018-02-12,222,650,2010,692,15
2018-02-13,127,561,1170,424,12
2018-02-14,75,1136,1909,280,49
2018-02-15,88,1503,1736,767,31
2018-02-16,99,798,2440,459,23
2018-02-17,76,791,2266,1300,40
2018-02-18,81,1310,1176,2015,85
2018-02-19,115,1013,2827,1486,102
2018-02-20,199,1566,4409,1841,40
2018-02-21,261,697,3941,762,2
2018-02-22,207,828,3212,1410,7
2018-02-23,173,1538,3293,1407,9
2018-02-24,158,1835,3660,1259,38
2018-02-25,92,656,3786,1319,59
2018-02-26,87,746,1941,337,30
2018-02-27,94,756,1063,154,8
2018-02-28,103,629,2244,230,4
2018-03-01,95,540,4031,437,6
2018-03-02,109,651,1943,1275,193
2018-03-03,57,386,666,445,43
2018-03-04,70,523,830,564,40
2018-03-05,113,494,1935,1455,188
2018-03-06,98,531,2243,1771,137
2018-03-07,90,431,1166,2217,2
2018-03-08,85,448,511,1909,19
2018-03-09,81,463,342,1095,12
2018-03-10,85,446,867,629,24
2018-03-11,74,623,2282,665,7
2018-03-12,84,408,1645,935,0
2018-03-13,97,582,872,1968,11
2018-03-14,82,491,837,1337,14
2018-03-15,90,409,775,886,14
2018-03-16,59,373,1520,1163,58
2018-03-17,66,513,1549,642,2
2018-03-18,108,822,1359,448,40
2018-03-19,108,716,2364,619,36
2018-03-20,134,493,2683,856,5
2018-03-21,121,454,1787,1703,6
2018-03-22,109,354,1530,587,17
2018-03-23,79,278,1284,337,65
2018-03-24,87,403,1818,1245,16
2018-03-25,65,414,1516,862,20
2018-03-26,92,522,1608,944,5
2018-03-27,88,500,3708,474,12
2018-03-28,98,984,3371,408,6
2018-03-29,102,1085,3838,522,14
2018-03-30,54,613,2219,379,35
2018-03-31,48,554,865,984,48
2018-04-01,38,378,916,607,12
2018-04-02,68,809,1075,1446,47
2018-04-03,98,830,2771,1331,75
2018-04-04,103,660,2662,1101,78
2018-04-05,82,371,566,741,9
2018-04-06,50,729,1971,1861,23
2018-04-07,54,390,3991,1006,18
2018-04-08,46,355,1504,899,40
2018-04-09,77,535,1330,1253,6
2018-04-10,78,374,1255,348,6
2018-04-11,52,451,555,192,37
2018-04-12,106,635,1491,595,113
2018-04-13,55,582,2080,841,167
2018-04-14,73,752,4287,1503,277
2018-04-15,97,617,4368,1912,24
2018-04-16,103,500,4299,1864,65
2018-04-17,74,434,929,1440,170
2018-04-18,75,329,559,676,56
2018-04-19,88,300,1035,609,22
2018-04-20,62,237,431,248,36
2018-04-21,66,313,1736,295,7
2018-04-22,49,309,2275,8,4
2018-04-23,88,320,2781,111,8
2018-04-24,78,377,2929,228,12
2018-04-25,76,687,2911,28,9
2018-04-26,68,614,1775,12,19
2018-04-27,44,559,1519,56,5
2018-04-28,57,684,1098,3,13
2018-04-29,55,343,1021,90,53
2018-04-30,95,224,1352,116,81
2018-05-01,96,359,1217,89,16
2018-05-02,105,395,1962,125,10
2018-05-03,113,545,4111,82,23
2018-05-04,57,398,2719,16,24
2018-05-05,57,540,1454,0,2
2018-05-06,69,582,2172,0,2
2018-05-07,71,512,749,0,7
2018-05-08,98,492,953,0,7
2018-05-09,105,543,1579,0,2
2018-05-10,91,586,1737,2,8
2018-05-11,81,523,2093,10,26
2018-05-12,79,538,2502,34,14
2018-05-13,88,799,2125,3,5
2018-05-14,116,884,2560,1,8
2018-05-15,130,750,3606,5,16
2018-05-16,97,661,3555,0,4
2018-05-17,106,630,3525,0,5
